,control,profesor,clase,instancia,corte,curso
0,sigan con los seminarios hechos desde la casa,Que se agregue una mesa mas en los practicos a fin ,El orden de los contenido,Que se mantenga la dinamica de separar por dias las prueba teorica de la práctica,muchos compañeros llamaban chuletas a los cortes y eso lo encuentro falta de madurez y de respeto. ,Orden y organizacion 
1,Ayudantia en horarios más comodos,disminuir el numero de alumnos por mesas ,Que se pongan de acuerdo si se va a prorizar el contenido de las clases o el de la bibliografía,Me gustaria que se hicieran mas ayudantías antes de las pruebas ,,un docente diferente en el paso por el laboratorio y en cada estación.
2,Profundizar mas en los casos clinicos de seminario.,6 a 8 alumnos por mesa permitiendo un aprendizaje mas personalizado,"que los practicos sean mas clase, en vez de dejarnos solos a identificar estructuras.",Mas casos clinicos o instancias para desarrollarnos de forma clínica,,muchos por sección muchas veces uno no alcanza a ver o a escucha bien los preparados de cada estación. 
3,"Ver torax despues de cuello, para mantener una continuacion en las relaciones anatómicas.",capítulos a leer para obtener la información desde una fuente que le aporte para el aprendizaje.,que se aconseje un libro para el estudio de una determinada materia,Que se pudieran mantener las solemnes teórica y practica en instancias separadas,,que se vigile un poco más el orden de los grupos
4,Me gustaría que se mantuviera que nos proporcionen una guía de autorregulación,"Debería haber un acuerdo previo entre los profesores en cuanto a contenidos, limites, etc. ",ayuda mas si es la teórica primero ya que se aprenden contenidos de la practica en el estudio de la teorica.,Encuentro mejor hacer la yincana antes de la prueba teórica.,,la organización del curso
5,actividades que nos dieron la posibilidad de subir las notas de controles,Practicos de pelvis mas cortos ya que era muy poca materia. ,"Creo  que tener clase teórica separada en varios días ayudaría más, que tener vario bloques juntos. ",Creo que seria mejor tener siempre la solemne teorica antes que la practica.,,Conservar: Orden del curso
6,Quizá podría ser una buena opción que sugirieran más videos sobre operaciones y disecciones a cadaveres,Me gustaría destacar la buena disposición que los profesores tenían cada dia,hacer un bloque todos los días ayudaría a poner más atención en cada clase y no perder el hilo conductor de la materia.,ojala sigan con la distribución de prueba teórica y práctica.,,la organización del curso
7,Mantener los seminarios clínicos donde teníamos que descubrir  la patología del paciente,Los profesores deben anotar los puntos en que no estan de acuerdo entre si y resolverlo ,Creo que se podria mejorar y progundizar mas las clases de imagenología,revisiones de las pruebas y las yincanas de práctica. Son instancias que se agradecen mucho. ,,Me gustaría que se mantuviera la excelente relación que se formó con los docentes y entre ellos. 
8,"Los trabajos que se hicieron para subir las notas, como dibujos y maquetas fueron muy utiles",Los profesores deben estar de acuerdo con la porcion mas larga de la tuba uterina. ,Me gusto mucho tener clases en la sala AS107. (Mejor sala que el semestre pasado),Mejorar preguntas en pruebas,,Considero que la metodología del curso se debe mantener
9,Tengo solo una crítica y es con respecto a los ayudantes. ,Podrían colocar cámaras en los prácticos con los cadaveres puesto que al ser muchos por mesa no todos alcanzan a ver.,Que haya mayor acuerdo entre los profesores sobre las estructuras mostradas en las clases prácticas,Me gustaría que se mantuvieran las instancias de repaso previas a las solemnes,,que hagan mas preguntas dirigidas a cada uno en cada una de las estaciones 
10,se noto que para algunos ayudante  era una prioridad y para otros no tanto,Mantener la relacion de los profesores con los alumnos,Dedicar dentro de lo posible clases con inervación e irrigación de estructuras ,ojalá invertir mas recursos en  material cadaverico,,Me parece que el curso cumple la mayoria de los objetivos
11,hay que poner mejor ojo en los criterios de selección de ayudantes.  ,Mayor preparación en el ámbito docente en los profesores,las clases teóricas y prácticas me parecieron adecuadas para el buen desempeño del estudiante. ,"ya que poseen óptimo conocimiento, pero al momento de enseñarlo se nota dificultad.",,
12,muchas gracias por contribuir en mi formación ,Deberían hacer que un profesor mejore sus prácticas pedagógicas ,la buena disposición de los profesores ayudaba a tener un excelente ambiente en clases y mejor atención del alumnado.,más instancias para revisar el material del pabellón,,
13,espero no defraudarlos en el futuro. Un abrazo!,además el profesor mejore su actitud,Me gustaría que los ayudantes tuvieran mayor presencia en nuestro estudio. ,me gustó la yincana de desarrollo en vez de una prueba teórica y una práctica ,,
